id,img_name,shape,center,radius,color,thickness,filled,box_corner,box_length,box_width
1,img1.png,circle,"(403, 364)",66,"(0.36470588235294116, 0.9450980392156862, 0.807843137254902)",6,False,"(334, 295)",138,138
2,img2.png,circle,"(156, 394)",107,"(0.15294117647058825, 0.7568627450980392, 0.8431372549019608)",10,False,"(44, 282)",224,224
3,img3.png,circle,"(424, 404)",52,"(0.8549019607843137, 0.4549019607843137, 0.9058823529411765)",1,False,"(372, 352)",105,105
4,img4.png,circle,"(328, 368)",45,"(0.21568627450980393, 0.7098039215686275, 0.6274509803921569)",7,False,"(280, 320)",97,97
5,img5.png,circle,"(444, 419)",52,"(0.6078431372549019, 0.3764705882352941, 0.5490196078431373)",2,False,"(391, 366)",106,106
6,img6.png,circle,"(120, 239)",69,"(0.3176470588235294, 0.7019607843137254, 0.17647058823529413)",3,False,"(50, 169)",141,141
7,img7.png,circle,"(490, 34)",10,"(0.8745098039215686, 0.8352941176470589, 0.4)",5,False,"(478, 22)",25,25
8,img8.png,circle,"(441, 298)",70,"(0.00784313725490196, 0.6588235294117647, 0.3568627450980392)",8,False,"(367, 224)",148,148
9,img9.png,circle,"(267, 362)",65,"(0.5058823529411764, 0.44313725490196076, 0.32941176470588235)",5,False,"(200, 295)",135,135
10,img10.png,circle,"(168, 239)",50,"(0.047058823529411764, 0.17647058823529413, 0.6039215686274509)",-1,True,"(119, 190)",99,99
11,img11.png,circle,"(293, 247)",67,"(0.34509803921568627, 0.40784313725490196, 0.8196078431372549)",5,False,"(224, 178)",139,139
12,img12.png,circle,"(137, 410)",27,"(0.8901960784313725, 0.9686274509803922, 0.611764705882353)",4,False,"(108, 381)",58,58
13,img13.png,circle,"(91, 190)",21,"(0.1843137254901961, 0.8470588235294118, 0.49411764705882355)",1,False,"(70, 169)",43,43
14,img14.png,circle,"(105, 191)",6,"(0.9764705882352941, 0.06666666666666667, 0.8509803921568627)",9,False,"(95, 181)",21,21
15,img15.png,circle,"(192, 300)",121,"(0.6274509803921569, 0.8274509803921568, 0.1568627450980392)",9,False,"(67, 175)",251,251
16,img16.png,circle,"(137, 276)",64,"(0.027450980392156862, 0.9882352941176471, 0.3176470588235294)",8,False,"(69, 208)",136,136
17,img17.png,circle,"(171, 397)",111,"(0.6705882352941176, 0.40784313725490196, 0.047058823529411764)",4,False,"(58, 284)",226,226
18,img18.png,circle,"(327, 327)",49,"(0.9411764705882353, 0.8196078431372549, 0.00392156862745098)",0,False,"(278, 278)",98,98
19,img19.png,circle,"(401, 283)",104,"(0.5372549019607843, 0.4, 0.5372549019607843)",10,False,"(292, 174)",218,218
20,img20.png,circle,"(353, 463)",9,"(0.08235294117647059, 0.40784313725490196, 0.8156862745098039)",1,False,"(344, 454)",19,19
21,img21.png,circle,"(104, 481)",10,"(0.03137254901960784, 0.08627450980392157, 0.6392156862745098)",2,False,"(93, 470)",22,22
22,img22.png,circle,"(301, 297)",51,"(0.6745098039215687, 0.8352941176470589, 0.4392156862745098)",9,False,"(246, 242)",111,111
23,img23.png,circle,"(341, 402)",22,"(0.023529411764705882, 0.792156862745098, 0.19215686274509805)",8,False,"(315, 376)",52,52
24,img24.png,circle,"(393, 154)",103,"(0.7019607843137254, 0.3686274509803922, 0.25098039215686274)",9,False,"(286, 47)",215,215
25,img25.png,circle,"(202, 257)",32,"(0.00392156862745098, 0.3607843137254902, 0.9882352941176471)",5,False,"(168, 223)",69,69
26,img26.png,circle,"(392, 350)",109,"(0.5098039215686274, 0.047058823529411764, 0.5450980392156862)",9,False,"(279, 237)",227,227
27,img27.png,circle,"(407, 414)",15,"(0.7411764705882353, 0.6823529411764706, 0.8549019607843137)",0,False,"(392, 399)",30,30
28,img28.png,circle,"(105, 437)",39,"(0.9019607843137255, 0.09803921568627451, 0.0784313725490196)",3,False,"(65, 397)",81,81
29,img29.png,circle,"(429, 425)",53,"(0.4588235294117647, 0.9333333333333333, 0.23137254901960785)",8,False,"(372, 368)",114,114
30,img30.png,circle,"(421, 187)",88,"(0.9490196078431372, 0.6039215686274509, 0.7725490196078432)",-1,True,"(334, 100)",175,175
31,img31.png,circle,"(166, 36)",7,"(0.13725490196078433, 0.30196078431372547, 0.2235294117647059)",5,False,"(157, 27)",19,19
32,img32.png,circle,"(227, 231)",124,"(0.12941176470588237, 0.13333333333333333, 0.17254901960784313)",1,False,"(103, 107)",249,249
33,img33.png,circle,"(347, 300)",103,"(0.26666666666666666, 0.4117647058823529, 0.9490196078431372)",1,False,"(244, 197)",207,207
34,img34.png,circle,"(491, 171)",1,"(0.5843137254901961, 0.807843137254902, 0.2627450980392157)",10,False,"(485, 165)",12,12
35,img35.png,circle,"(93, 191)",81,"(0.5490196078431373, 0.03137254901960784, 0.7803921568627451)",7,False,"(9, 107)",169,169
36,img36.png,circle,"(301, 355)",104,"(0.5529411764705883, 0.4392156862745098, 0.10196078431372549)",6,False,"(194, 248)",214,214
37,img37.png,circle,"(455, 275)",32,"(0.9803921568627451, 0.34509803921568627, 0.12549019607843137)",7,False,"(420, 240)",71,71
38,img38.png,circle,"(406, 350)",19,"(0.9529411764705882, 0.9294117647058824, 0.7176470588235294)",4,False,"(385, 329)",42,42
39,img39.png,circle,"(56, 153)",45,"(0.058823529411764705, 0.18823529411764706, 0.4)",0,False,"(11, 108)",90,90
40,img40.png,circle,"(282, 449)",51,"(0.7294117647058823, 0.23921568627450981, 0.17254901960784313)",4,False,"(229, 396)",106,106
41,img41.png,circle,"(337, 377)",9,"(0.7490196078431373, 0.5647058823529412, 0.8235294117647058)",10,False,"(323, 363)",28,28
42,img42.png,circle,"(237, 332)",106,"(0.25098039215686274, 0.19607843137254902, 0.10588235294117647)",9,False,"(127, 222)",221,221
43,img43.png,circle,"(85, 78)",27,"(0.11764705882352941, 0.17647058823529413, 0.09803921568627451)",4,False,"(56, 49)",58,58
44,img44.png,circle,"(85, 131)",28,"(0.43137254901960786, 0.5764705882352941, 0.8588235294117647)",9,False,"(53, 99)",65,65
45,img45.png,circle,"(210, 310)",49,"(0.4588235294117647, 0.7529411764705882, 0.7333333333333333)",8,False,"(157, 257)",106,106
46,img46.png,circle,"(296, 261)",3,"(0.27450980392156865, 0.8235294117647058, 0.5333333333333333)",9,False,"(289, 254)",15,15
47,img47.png,circle,"(231, 123)",99,"(0.06666666666666667, 0.6509803921568628, 0.047058823529411764)",9,False,"(128, 20)",207,207
48,img48.png,circle,"(131, 388)",81,"(0.35294117647058826, 0.5686274509803921, 0.06274509803921569)",2,False,"(49, 306)",164,164
49,img49.png,circle,"(373, 257)",81,"(0.8823529411764706, 0.8431372549019608, 0.01568627450980392)",7,False,"(289, 173)",169,169
50,img50.png,circle,"(348, 111)",89,"(0.6196078431372549, 0.4745098039215686, 0.34901960784313724)",10,False,"(254, 17)",188,188
51,img51.png,circle,"(396, 47)",37,"(0.2, 0.09803921568627451, 0.9450980392156862)",10,False,"(354, 5)",84,84
52,img52.png,circle,"(365, 176)",63,"(0.3607843137254902, 0.3843137254901961, 0.19607843137254902)",6,False,"(299, 110)",132,132
53,img53.png,circle,"(148, 119)",70,"(0.984313725490196, 0.9372549019607843, 0.8431372549019608)",5,False,"(76, 47)",145,145
54,img54.png,circle,"(160, 303)",79,"(0.34901960784313724, 0.08627450980392157, 0.7019607843137254)",3,False,"(80, 223)",161,161
55,img55.png,circle,"(193, 186)",55,"(0.06274509803921569, 0.3803921568627451, 0.6392156862745098)",0,False,"(138, 131)",110,110
56,img56.png,circle,"(117, 501)",7,"(0.9607843137254902, 0.45098039215686275, 0.7019607843137254)",9,False,"(106, 490)",23,23
57,img57.png,circle,"(247, 340)",116,"(0.7372549019607844, 0.8196078431372549, 0.803921568627451)",2,False,"(130, 223)",234,234
58,img58.png,circle,"(480, 3)",3,"(0.027450980392156862, 0.6392156862745098, 0.8745098039215686)",0,False,"(477, 0)",6,6
59,img59.png,circle,"(223, 195)",77,"(0.03137254901960784, 0.23921568627450981, 0.9450980392156862)",8,False,"(142, 114)",162,162
60,img60.png,circle,"(304, 244)",90,"(0.10588235294117647, 0.5686274509803921, 0.4823529411764706)",5,False,"(212, 152)",185,185
61,img61.png,circle,"(222, 284)",126,"(0.9607843137254902, 0.43137254901960786, 0.7058823529411765)",8,False,"(92, 154)",260,260
62,img62.png,circle,"(293, 153)",30,"(0.7450980392156863, 0.3215686274509804, 0.6196078431372549)",2,False,"(262, 122)",62,62
63,img63.png,circle,"(354, 411)",41,"(0.5490196078431373, 0.41568627450980394, 0.9254901960784314)",1,False,"(313, 370)",83,83
64,img64.png,circle,"(125, 303)",24,"(0.7019607843137254, 0.807843137254902, 0.6235294117647059)",-1,True,"(102, 280)",47,47
65,img65.png,circle,"(370, 186)",25,"(0.43529411764705883, 0.7098039215686275, 0.7686274509803922)",4,False,"(343, 159)",54,54
66,img66.png,circle,"(155, 402)",41,"(0.38823529411764707, 0.6941176470588235, 0.4980392156862745)",9,False,"(110, 357)",91,91
67,img67.png,circle,"(68, 234)",35,"(0.6352941176470588, 0.11764705882352941, 0.30980392156862746)",2,False,"(32, 198)",72,72
68,img68.png,circle,"(337, 95)",58,"(0.49019607843137253, 0.807843137254902, 0.00784313725490196)",5,False,"(277, 35)",121,121
69,img69.png,circle,"(377, 298)",120,"(0.5568627450980392, 0.33725490196078434, 0.6313725490196078)",9,False,"(253, 174)",249,249
70,img70.png,circle,"(393, 379)",112,"(0.6274509803921569, 0.1450980392156863, 0.7411764705882353)",1,False,"(281, 267)",225,225
71,img71.png,circle,"(322, 202)",114,"(0.7686274509803922, 0.06274509803921569, 0.19215686274509805)",1,False,"(208, 88)",229,229
72,img72.png,circle,"(437, 243)",67,"(0.09803921568627451, 0.09803921568627451, 0.5882352941176471)",6,False,"(367, 173)",140,140
73,img73.png,circle,"(475, 134)",32,"(0.4, 0.5607843137254902, 0.5333333333333333)",3,False,"(442, 101)",67,67
74,img74.png,circle,"(142, 293)",81,"(0.9294117647058824, 0.3686274509803922, 0.5450980392156862)",5,False,"(59, 210)",167,167
75,img75.png,circle,"(320, 471)",28,"(0.3176470588235294, 0.37254901960784315, 0.7607843137254902)",3,False,"(291, 442)",59,59
76,img76.png,circle,"(192, 344)",120,"(0.3215686274509804, 0.5411764705882353, 0.8352941176470589)",6,False,"(69, 221)",246,246
77,img77.png,circle,"(183, 309)",48,"(0.7098039215686275, 0.44313725490196076, 0.21176470588235294)",2,False,"(134, 260)",98,98
78,img78.png,circle,"(190, 103)",61,"(0.7568627450980392, 0.6823529411764706, 0.6980392156862745)",0,False,"(129, 42)",122,122
79,img79.png,circle,"(230, 170)",79,"(0.7411764705882353, 0.3254901960784314, 0.6823529411764706)",5,False,"(149, 89)",163,163
80,img80.png,circle,"(339, 405)",92,"(0.5843137254901961, 0.23921568627450981, 0.592156862745098)",1,False,"(247, 313)",185,185
81,img81.png,circle,"(115, 285)",12,"(0.06274509803921569, 0.9607843137254902, 0.396078431372549)",5,False,"(101, 271)",29,29
82,img82.png,circle,"(68, 375)",66,"(1.0, 0.21176470588235294, 0.7647058823529411)",7,False,"(-1, 306)",139,139
83,img83.png,circle,"(98, 165)",90,"(0.0, 0.8862745098039215, 0.792156862745098)",6,False,"(5, 72)",186,186
84,img84.png,circle,"(386, 134)",57,"(0.18823529411764706, 0.9215686274509803, 0.21568627450980393)",10,False,"(324, 72)",124,124
85,img85.png,circle,"(445, 67)",44,"(0.9215686274509803, 0.8431372549019608, 0.1411764705882353)",8,False,"(397, 19)",96,96
86,img86.png,circle,"(173, 174)",83,"(0.9803921568627451, 0.9725490196078431, 0.7686274509803922)",8,False,"(86, 87)",174,174
87,img87.png,circle,"(187, 349)",115,"(0.3137254901960784, 0.9411764705882353, 0.7411764705882353)",7,False,"(69, 231)",237,237
88,img88.png,circle,"(402, 265)",90,"(0.8470588235294118, 0.17254901960784313, 0.8235294117647058)",7,False,"(309, 172)",187,187
89,img89.png,circle,"(419, 458)",38,"(0.5098039215686274, 0.16862745098039217, 0.16862745098039217)",0,False,"(381, 420)",76,76
90,img90.png,circle,"(105, 424)",10,"(0.7372549019607844, 0.21176470588235294, 0.9372549019607843)",1,False,"(95, 414)",21,21
91,img91.png,circle,"(194, 243)",119,"(0.33725490196078434, 0.8196078431372549, 0.9098039215686274)",-1,True,"(76, 125)",237,237
92,img92.png,circle,"(177, 342)",100,"(0.3254901960784314, 0.13725490196078433, 0.9254901960784314)",1,False,"(77, 242)",201,201
93,img93.png,circle,"(413, 196)",2,"(0.5647058823529412, 0.4666666666666667, 0.03529411764705882)",-1,True,"(412, 195)",3,3
94,img94.png,circle,"(271, 107)",82,"(0.00392156862745098, 0.8117647058823529, 0.4823529411764706)",10,False,"(184, 20)",174,174
95,img95.png,circle,"(342, 279)",10,"(0.10980392156862745, 0.06274509803921569, 0.01568627450980392)",1,False,"(332, 269)",21,21
96,img96.png,circle,"(145, 402)",75,"(0.30980392156862746, 0.5137254901960784, 0.28627450980392155)",8,False,"(66, 323)",158,158
97,img97.png,circle,"(410, 260)",18,"(0.12941176470588237, 0.4666666666666667, 0.43529411764705883)",4,False,"(390, 240)",40,40
98,img98.png,circle,"(143, 489)",18,"(0.12941176470588237, 0.7215686274509804, 0.45098039215686275)",5,False,"(123, 469)",41,41
99,img99.png,circle,"(346, 205)",96,"(0.7176470588235294, 0.14901960784313725, 0.3607843137254902)",5,False,"(248, 107)",197,197
100,img100.png,circle,"(36, 264)",30,"(0.1803921568627451, 0.03529411764705882, 0.06666666666666667)",-1,True,"(7, 235)",59,59
101,img101.png,circle,"(393, 94)",35,"(0.5372549019607843, 0.1843137254901961, 0.8666666666666667)",8,False,"(354, 55)",78,78
102,img102.png,circle,"(397, 188)",8,"(0.8352941176470589, 0.32941176470588235, 0.5568627450980392)",4,False,"(387, 178)",20,20
103,img103.png,circle,"(144, 116)",5,"(0.6431372549019608, 0.8784313725490196, 0.6470588235294118)",5,False,"(137, 109)",15,15
104,img104.png,circle,"(114, 129)",98,"(0.8549019607843137, 0.8352941176470589, 0.40784313725490196)",1,False,"(16, 31)",197,197
105,img105.png,circle,"(425, 384)",44,"(0.3607843137254902, 0.48627450980392156, 0.4196078431372549)",5,False,"(379, 338)",93,93
106,img106.png,circle,"(222, 257)",105,"(0.5647058823529412, 0.9176470588235294, 0.44313725490196076)",1,False,"(117, 152)",211,211
107,img107.png,circle,"(291, 281)",124,"(0.7686274509803922, 0.5764705882352941, 0.43137254901960786)",1,False,"(167, 157)",249,249
108,img108.png,circle,"(297, 201)",126,"(0.6431372549019608, 0.2901960784313726, 0.23137254901960785)",6,False,"(168, 72)",258,258
109,img109.png,circle,"(224, 148)",90,"(0.28627450980392155, 0.12156862745098039, 0.01568627450980392)",10,False,"(129, 53)",190,190
110,img110.png,circle,"(462, 124)",22,"(0.3607843137254902, 0.35294117647058826, 0.6666666666666666)",3,False,"(439, 101)",47,47
111,img111.png,circle,"(195, 108)",107,"(0.5058823529411764, 0.18823529411764706, 0.9137254901960784)",8,False,"(84, -3)",222,222
